buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.04,0.72,250,5498.31,16.75,-69.66,0.49
1.01,0.84,200,5497.81,16.75,-64.49,0.5
1.04,0.79,150,5465.91,16.72,-69.77,0.49
1.06,0.77,200,5456.69,16.72,-66.75,0.49
1.1,0.75,250,5448.89,16.71,-69.83,0.49
1.1,0.76,250,5448.89,16.71,-69.83,0.49
1.11,0.75,250,5448.89,16.71,-69.83,0.49
1.11,0.76,250,5448.89,16.71,-69.83,0.49
1.0,0.82,200,5446.37,16.71,-73.13,0.5
1.11,0.72,200,5429.87,16.69,-69.6,0.49
1.11,0.74,200,5429.87,16.69,-69.6,0.49
1.11,0.73,200,5429.87,16.69,-69.6,0.49
1.11,0.75,200,5429.87,16.69,-69.6,0.49
1.11,0.76,200,5429.87,16.69,-69.6,0.49
1.12,0.8,150,5426.76,16.69,-63.61,0.49
1.13,0.83,200,5421.12,16.69,-61.67,0.49
1.1,0.84,250,5421.12,16.69,-61.67,0.49
1.11,0.84,250,5421.12,16.69,-61.67,0.49
1.12,0.83,200,5421.12,16.69,-61.67,0.49
1.1,0.83,250,5421.12,16.69,-61.67,0.49
1.11,0.83,250,5421.12,16.69,-61.67,0.49
1.11,0.8,200,5404.76,16.67,-63.96,0.49
1.03,0.88,200,5393.01,16.66,-60.44,0.5
1.08,0.78,150,5388.44,16.66,-68.2,0.49
1.14,0.77,150,5372.13,16.65,-69.76,0.49
1.13,0.72,150,5349.07,16.63,-69.53,0.49
1.13,0.76,150,5349.07,16.63,-69.53,0.49
1.13,0.75,150,5349.07,16.63,-69.53,0.49
1.13,0.73,150,5349.07,16.63,-69.53,0.49
1.13,0.74,150,5349.07,16.63,-69.53,0.49
1.04,0.79,250,5339.54,16.62,-63.92,0.49
1.05,0.79,250,5339.54,16.62,-63.92,0.49
1.04,0.86,250,5332.71,16.62,-60.42,0.49
1.12,0.75,250,5322.16,16.61,-69.73,0.49
1.14,0.76,250,5322.16,16.61,-69.73,0.49
1.13,0.76,250,5322.16,16.61,-69.73,0.49
1.13,0.75,250,5322.16,16.61,-69.73,0.49
1.12,0.76,250,5322.16,16.61,-69.73,0.49
1.14,0.75,250,5322.16,16.61,-69.73,0.49
1.03,0.77,250,5294.72,16.58,-66.75,0.49
1.12,0.83,250,5293.54,16.58,-61.6,0.49
1.12,0.84,250,5293.54,16.58,-61.6,0.49
1.13,0.83,250,5293.54,16.58,-61.6,0.49
1.13,0.84,250,5293.54,16.58,-61.6,0.49
1.1,0.7,200,5275.35,16.57,-71.4,0.49
1.1,0.71,200,5275.35,16.57,-71.4,0.49
1.09,0.79,150,5263.98,16.56,-66.82,0.49
1.07,0.74,250,5256.0,16.55,-69.46,0.49
1.07,0.71,250,5256.0,16.55,-69.46,0.49
1.06,0.72,250,5256.0,16.55,-69.46,0.49
1.07,0.7,250,5256.0,16.55,-69.46,0.49
1.07,0.72,250,5256.0,16.55,-69.46,0.49
1.06,0.73,250,5256.0,16.55,-69.46,0.49
1.06,0.74,250,5256.0,16.55,-69.46,0.49
1.06,0.71,250,5256.0,16.55,-69.46,0.49
1.06,0.7,250,5256.0,16.55,-69.46,0.49
1.07,0.73,250,5256.0,16.55,-69.46,0.49
1.06,0.8,250,5237.8,16.54,-62.83,0.49
1.07,0.8,250,5237.8,16.54,-62.83,0.49
1.05,0.86,250,5236.24,16.54,-61.02,0.49
1.0,0.81,200,5212.07,16.51,-73.13,0.49
1.08,0.79,200,5202.9,16.51,-66.79,0.49
1.07,0.78,200,5202.9,16.51,-66.79,0.49
1.07,0.79,200,5202.9,16.51,-66.79,0.49
