buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.02,0.78,200,29056.39,24.4,-81.79,0.6
1.05,0.77,150,29030.03,24.4,-81.66,0.6
1.01,0.77,250,29017.59,24.4,-81.58,0.61
1.03,0.86,250,29014.17,24.4,-74.62,0.61
1.12,0.77,150,28923.36,24.38,-81.82,0.6
1.02,0.79,250,28630.8,24.33,-78.3,0.6
1.08,0.7,150,28548.55,24.32,-86.56,0.6
1.08,0.71,150,28548.55,24.32,-86.56,0.6
1.12,0.82,150,28125.75,24.25,-78.58,0.6
1.07,0.83,250,28040.24,24.23,-75.5,0.6
1.07,0.84,250,28040.24,24.23,-75.5,0.6
1.06,0.84,250,28040.24,24.23,-75.5,0.6
1.06,0.83,250,28040.24,24.23,-75.5,0.6
1.05,0.84,200,27928.99,24.21,-76.37,0.6
1.06,0.83,150,27752.49,24.18,-76.75,0.6
1.05,0.75,250,27747.14,24.18,-81.66,0.6
1.04,0.75,250,27747.14,24.18,-81.66,0.6
1.05,0.76,250,27747.14,24.18,-81.66,0.6
1.04,0.76,250,27747.14,24.18,-81.66,0.6
1.09,0.74,200,27444.64,24.13,-85.26,0.6
1.09,0.72,200,27444.64,24.13,-85.26,0.6
1.09,0.73,200,27444.64,24.13,-85.26,0.6
1.09,0.76,200,27444.64,24.13,-85.26,0.6
1.09,0.75,200,27444.64,24.13,-85.26,0.6
1.02,0.85,250,27440.19,24.13,-74.14,0.6
1.1,0.81,200,27419.81,24.13,-78.3,0.6
1.02,0.84,200,27415.14,24.13,-76.37,0.6
1.05,0.79,150,27402.66,24.12,-81.49,0.6
1.02,0.78,250,27287.22,24.1,-79.31,0.6
1.03,0.79,250,27181.66,24.09,-77.76,0.6
1.1,0.8,150,26996.04,24.05,-79.21,0.6
1.03,0.82,150,26939.82,24.04,-77.84,0.6
1.08,0.83,250,26822.94,24.02,-75.5,0.6
1.09,0.84,250,26822.94,24.02,-75.5,0.6
1.09,0.83,250,26822.94,24.02,-75.5,0.6
1.08,0.84,250,26822.94,24.02,-75.5,0.6
1.1,0.73,150,26747.25,24.01,-85.02,0.6
1.1,0.75,150,26747.25,24.01,-85.02,0.6
1.1,0.74,150,26747.25,24.01,-85.02,0.6
1.1,0.72,150,26747.25,24.01,-85.02,0.6
1.1,0.76,150,26747.25,24.01,-85.02,0.6
1.13,0.77,150,26729.65,24.01,-81.79,0.6
1.05,0.8,250,26610.4,23.98,-77.75,0.6
1.04,0.8,250,26610.4,23.98,-77.75,0.6
1.0,0.83,200,26600.07,23.98,-75.98,0.6
1.11,0.82,200,26542.66,23.97,-77.76,0.6
1.04,0.85,200,26516.09,23.97,-75.92,0.61
1.12,0.81,150,26498.05,23.96,-78.58,0.6
1.09,0.7,150,26445.12,23.96,-86.56,0.6
1.09,0.71,150,26445.12,23.96,-86.56,0.6
1.07,0.81,250,26417.47,23.95,-75.5,0.6
1.07,0.82,250,26417.47,23.95,-75.5,0.6
1.06,0.82,250,26417.47,23.95,-75.5,0.6
1.06,0.81,250,26417.47,23.95,-75.5,0.6
1.02,0.77,200,26258.87,23.92,-81.79,0.6
1.11,0.8,150,26221.23,23.91,-79.48,0.6
1.06,0.76,250,26173.24,23.91,-81.66,0.6
1.06,0.75,250,26173.24,23.91,-81.66,0.6
1.07,0.75,250,26173.24,23.91,-81.66,0.6
1.07,0.76,250,26173.24,23.91,-81.66,0.6
1.08,0.7,200,26152.76,23.9,-86.78,0.6
1.07,0.7,200,26152.76,23.9,-86.78,0.6
1.07,0.71,200,26152.76,23.9,-86.78,0.6
1.08,0.71,200,26152.76,23.9,-86.78,0.6
1.06,0.71,200,26152.76,23.9,-86.78,0.6
1.06,0.7,200,26152.76,23.9,-86.78,0.6
1.13,0.82,150,25992.32,23.87,-78.54,0.6
1.11,0.74,150,25979.55,23.87,-85.21,0.6
1.11,0.72,150,25979.55,23.87,-85.21,0.6
1.11,0.73,150,25979.55,23.87,-85.21,0.6
1.11,0.76,150,25979.55,23.87,-85.21,0.6
1.11,0.75,150,25979.55,23.87,-85.21,0.6
1.1,0.8,200,25923.08,23.86,-79.31,0.6
1.03,0.78,250,25905.85,23.86,-78.8,0.6
1.03,0.88,200,25707.09,23.82,-72.33,0.61
1.02,0.7,250,25667.37,23.81,-85.09,0.59
1.01,0.74,250,25667.37,23.81,-85.09,0.59
1.01,0.71,250,25667.37,23.81,-85.09,0.59
1.01,0.73,250,25667.37,23.81,-85.09,0.59
1.01,0.7,250,25667.37,23.81,-85.09,0.59
1.02,0.73,250,25667.37,23.81,-85.09,0.59
1.02,0.71,250,25667.37,23.81,-85.09,0.59
1.01,0.72,250,25667.37,23.81,-85.09,0.59
1.02,0.74,250,25667.37,23.81,-85.09,0.59
1.02,0.72,250,25667.37,23.81,-85.09,0.59
1.03,0.85,250,25573.63,23.8,-74.62,0.6
1.05,0.78,150,25481.73,23.78,-81.49,0.59
1.01,0.79,200,25347.71,23.75,-81.6,0.59
1.09,0.82,250,25270.37,23.74,-75.5,0.6
1.08,0.82,250,25270.37,23.74,-75.5,0.6
1.08,0.81,250,25270.37,23.74,-75.5,0.6
1.09,0.81,250,25270.37,23.74,-75.5,0.6
1.06,0.78,200,25148.95,23.72,-81.79,0.6
1.06,0.79,200,25148.95,23.72,-81.79,0.6
1.01,0.78,200,25131.18,23.71,-81.6,0.59
1.08,0.75,250,25036.7,23.7,-81.66,0.59
1.08,0.76,250,25036.7,23.7,-81.66,0.59
1.09,0.76,250,25036.7,23.7,-81.66,0.59
1.09,0.75,250,25036.7,23.7,-81.66,0.59
1.11,0.81,200,25006.25,23.69,-77.76,0.6
1.09,0.71,200,24607.98,23.61,-86.78,0.59
1.09,0.7,200,24607.98,23.61,-86.78,0.59
1.01,0.84,200,24593.13,23.61,-76.13,0.59
1.08,0.79,150,24522.77,23.6,-81.49,0.59
1.13,0.81,150,24487.65,23.59,-78.54,0.59
1.1,0.84,250,24427.67,23.58,-75.5,0.59
1.13,0.83,200,24427.67,23.58,-75.5,0.59
1.12,0.83,200,24427.67,23.58,-75.5,0.59
1.11,0.83,250,24427.67,23.58,-75.5,0.59
1.11,0.84,250,24427.67,23.58,-75.5,0.59
1.1,0.83,250,24427.67,23.58,-75.5,0.59
1.03,0.71,250,24367.71,23.57,-84.72,0.59
1.03,0.73,250,24367.71,23.57,-84.72,0.59
1.03,0.72,250,24367.71,23.57,-84.72,0.59
1.03,0.74,250,24367.71,23.57,-84.72,0.59
1.03,0.7,250,24367.71,23.57,-84.72,0.59
1.02,0.77,250,24283.31,23.55,-81.58,0.59
1.03,0.87,200,24253.97,23.54,-72.33,0.6
1.1,0.76,200,24211.02,23.54,-85.09,0.59
1.1,0.74,200,24211.02,23.54,-85.09,0.59
1.1,0.75,200,24211.02,23.54,-85.09,0.59
1.1,0.73,200,24211.02,23.54,-85.09,0.59
1.1,0.72,200,24211.02,23.54,-85.09,0.59
1.04,0.77,150,24184.52,23.53,-81.66,0.59
1.03,0.81,150,24129.69,23.52,-77.84,0.59
1.02,0.76,200,23991.81,23.49,-85.26,0.59
1.1,0.7,150,23982.41,23.49,-86.56,0.59
1.1,0.71,150,23982.41,23.49,-86.56,0.59
1.06,0.77,200,23814.31,23.46,-81.79,0.59
1.02,0.74,200,23786.51,23.45,-85.26,0.59
1.02,0.75,200,23786.51,23.45,-85.26,0.59
1.13,0.83,250,23697.43,23.44,-75.5,0.59
1.13,0.84,250,23697.43,23.44,-75.5,0.59
1.12,0.83,250,23697.43,23.44,-75.5,0.59
1.12,0.84,250,23697.43,23.44,-75.5,0.59
1.02,0.73,200,23665.7,23.43,-85.26,0.59
1.11,0.8,200,23640.78,23.42,-78.8,0.59
1.04,0.86,250,23623.3,23.42,-75.38,0.59
1.12,0.8,150,23614.47,23.42,-79.59,0.59
1.05,0.76,150,23483.08,23.39,-85.02,0.59
1.02,0.72,200,23466.71,23.39,-85.26,0.59
1.04,0.79,150,23427.29,23.38,-81.2,0.59
1.12,0.73,150,23396.73,23.37,-85.29,0.59
1.12,0.74,150,23396.73,23.37,-85.29,0.59
1.12,0.72,150,23396.73,23.37,-85.29,0.59
1.12,0.76,150,23396.73,23.37,-85.29,0.59
1.12,0.75,150,23396.73,23.37,-85.29,0.59
1.11,0.71,150,23293.78,23.35,-86.73,0.59
1.11,0.7,150,23293.78,23.35,-86.73,0.59
1.08,0.78,150,23221.22,23.34,-81.49,0.59
1.05,0.86,250,23100.46,23.31,-75.92,0.59
1.05,0.75,150,23078.1,23.31,-85.02,0.59
1.03,0.77,250,23053.46,23.3,-81.12,0.59
1.1,0.82,250,23013.23,23.3,-75.5,0.59
1.11,0.82,250,23013.23,23.3,-75.5,0.59
1.1,0.81,250,23013.23,23.3,-75.5,0.59
1.11,0.81,250,23013.23,23.3,-75.5,0.59
1.05,0.73,150,22870.68,23.27,-85.02,0.59
1.05,0.74,150,22870.68,23.27,-85.02,0.59
1.04,0.79,250,22817.33,23.26,-77.75,0.59
1.05,0.79,250,22817.33,23.26,-77.75,0.59
1.11,0.76,250,22800.35,23.25,-81.66,0.59
1.11,0.75,250,22800.35,23.25,-81.66,0.59
1.1,0.75,250,22800.35,23.25,-81.66,0.59
1.1,0.76,250,22800.35,23.25,-81.66,0.59
1.14,0.83,200,22777.3,23.25,-75.5,0.59
1.05,0.72,150,22748.62,23.24,-85.02,0.59
1.09,0.79,150,22714.91,23.24,-81.49,0.59
1.05,0.83,150,22679.31,23.23,-76.75,0.59
1.04,0.88,200,22655.09,23.22,-73.75,0.6
1.07,0.79,200,22463.64,23.18,-81.79,0.59
1.08,0.79,200,22463.64,23.18,-81.79,0.59
