buy,sell,total_ret,cagr,max_dd,sharpe
1.03,0.98,4635.81,27.29,-50.09,0.7
1.01,0.87,4597.23,27.23,-71.82,0.65
1.01,0.88,4597.23,27.23,-71.82,0.65
1.0,0.99,4585.21,27.21,-56.88,0.69
1.02,0.87,4491.67,27.05,-71.82,0.65
1.02,0.88,4491.67,27.05,-71.82,0.65
1.09,0.84,4434.75,26.95,-83.3,0.64
1.03,0.99,4369.16,26.83,-51.07,0.69
1.05,0.85,4352.72,26.8,-75.92,0.64
1.0,0.93,4337.34,26.77,-63.53,0.66
1.14,0.78,4291.33,26.69,-79.35,0.64
1.14,0.79,4291.33,26.69,-79.35,0.64
1.01,0.93,4270.71,26.65,-63.53,0.66
1.0,0.86,4245.85,26.61,-71.82,0.64
1.01,0.86,4204.81,26.53,-71.82,0.64
1.01,0.97,4199.86,26.53,-63.53,0.67
1.04,0.97,4156.05,26.44,-63.52,0.68
1.03,0.87,4120.41,26.38,-72.33,0.64
1.03,0.88,4120.41,26.38,-72.33,0.64
1.02,0.86,4108.07,26.35,-71.82,0.64
1.03,0.97,4060.47,26.27,-63.52,0.67
1.14,0.77,4059.21,26.26,-80.45,0.64
1.05,0.99,3925.26,26.0,-50.09,0.69
1.1,0.84,3911.77,25.98,-79.69,0.63
1.04,0.87,3903.63,25.96,-73.75,0.64
1.04,0.88,3903.63,25.96,-73.75,0.64
1.05,0.98,3890.74,25.94,-50.09,0.68
1.05,0.89,3885.32,25.93,-70.94,0.64
1.03,0.86,3767.83,25.69,-72.33,0.63
1.0,0.91,3739.77,25.63,-63.53,0.64
1.02,0.92,3682.12,25.51,-63.53,0.64
1.01,0.91,3682.11,25.51,-63.53,0.64
1.15,0.82,3657.97,25.46,-72.7,0.63
1.15,0.83,3657.97,25.46,-72.7,0.63
1.11,0.84,3629.65,25.4,-79.69,0.62
1.04,0.86,3569.16,25.28,-73.75,0.62
1.02,0.94,3530.91,25.19,-63.53,0.64
1.15,0.81,3441.26,25.0,-74.27,0.63
1.12,0.84,3440.41,25.0,-79.69,0.62
1.15,0.8,3412.94,24.94,-74.48,0.62
1.0,0.9,3331.22,24.75,-63.53,0.62
1.13,0.84,3323.41,24.73,-70.73,0.62
1.06,0.85,3292.56,24.66,-76.27,0.61
1.01,0.9,3279.69,24.63,-63.53,0.62
1.05,0.88,3259.25,24.59,-73.75,0.62
1.05,0.87,3259.25,24.59,-73.75,0.62
1.02,0.93,3228.02,24.51,-63.53,0.63
1.04,0.95,3107.2,24.23,-63.52,0.63
1.05,0.97,3078.55,24.16,-63.52,0.64
1.0,0.95,3069.48,24.13,-63.53,0.62
1.06,1.0,3068.18,24.13,-49.34,0.66
1.05,0.86,2978.61,23.91,-73.75,0.6
1.03,0.92,2844.12,23.56,-63.52,0.61
1.04,0.94,2833.16,23.53,-63.52,0.62
1.02,0.91,2814.07,23.48,-63.53,0.6
1.15,0.78,2741.87,23.29,-79.35,0.6
1.15,0.79,2741.87,23.29,-79.35,0.6
1.03,0.94,2708.47,23.2,-63.52,0.61
1.01,0.95,2703.96,23.19,-64.26,0.61
1.02,0.96,2690.49,23.15,-63.53,0.61
1.0,0.96,2657.89,23.06,-63.53,0.61
1.04,0.93,2650.94,23.04,-63.52,0.61
1.07,0.85,2625.44,22.97,-78.67,0.59
1.03,0.95,2607.11,22.92,-63.52,0.6
1.06,0.89,2600.18,22.9,-70.94,0.59
1.02,0.95,2593.22,22.88,-63.53,0.6
1.15,0.77,2591.65,22.87,-80.45,0.59
1.02,0.9,2504.01,22.62,-63.53,0.59
1.04,0.96,2485.81,22.56,-63.52,0.6
1.03,0.93,2474.19,22.53,-63.52,0.59
1.04,0.92,2431.95,22.4,-63.52,0.59
1.05,0.95,2422.9,22.38,-63.52,0.6
1.03,0.96,2363.75,22.19,-63.52,0.59
1.01,0.96,2321.53,22.06,-64.26,0.59
1.06,0.99,2251.19,21.84,-49.34,0.61
1.05,0.94,2207.33,21.69,-63.52,0.58
1.06,0.88,2176.0,21.59,-73.75,0.57
1.06,0.87,2176.0,21.59,-73.75,0.57
1.08,0.85,2169.16,21.57,-82.24,0.56
1.03,0.91,2168.4,21.56,-63.52,0.57
1.06,0.98,2139.57,21.47,-49.34,0.6
1.05,0.93,2076.49,21.25,-63.52,0.57
1.16,0.76,2073.1,21.24,-81.66,0.56
1.16,0.72,2073.1,21.24,-81.66,0.56
1.16,0.75,2073.1,21.24,-81.66,0.56
1.16,0.73,2073.1,21.24,-81.66,0.56
1.16,0.74,2073.1,21.24,-81.66,0.56
1.16,0.71,2073.1,21.24,-81.66,0.56
1.07,1.0,2054.96,21.17,-48.6,0.6
1.06,0.86,1985.86,20.93,-73.75,0.56
1.03,0.9,1927.04,20.71,-63.52,0.56
1.07,0.89,1918.14,20.68,-73.49,0.55
1.09,0.85,1904.65,20.63,-83.3,0.55
1.04,0.91,1850.83,20.42,-63.62,0.55
1.05,0.96,1839.46,20.38,-63.52,0.56
1.05,0.92,1777.08,20.13,-63.52,0.55
1.13,0.89,1737.45,19.97,-60.02,0.54
1.14,0.84,1692.67,19.79,-72.7,0.54
1.1,0.85,1673.46,19.71,-79.69,0.53
1.06,0.97,1665.04,19.67,-62.97,0.55
1.04,0.9,1643.26,19.58,-63.62,0.54
1.07,0.87,1601.1,19.4,-76.05,0.53
1.07,0.88,1601.1,19.4,-76.05,0.53
1.08,1.0,1589.18,19.34,-48.13,0.56
