buy,sell,total_ret,cagr,max_dd,sharpe
1.17,0.8,926.62,15.68,-38.13,0.66
1.17,0.99,926.05,15.68,-34.18,0.67
1.17,0.98,926.05,15.68,-34.18,0.67
1.17,0.97,926.05,15.68,-34.18,0.67
1.16,0.95,925.63,15.68,-34.6,0.67
1.12,1.0,925.5,15.67,-33.7,0.65
1.1,0.9,923.1,15.66,-35.84,0.59
1.13,0.99,923.09,15.66,-34.22,0.65
1.16,0.94,923.07,15.66,-34.88,0.66
1.1,0.96,922.48,15.65,-34.62,0.62
1.12,0.92,922.37,15.65,-35.8,0.6
1.16,0.88,922.37,15.65,-37.38,0.64
1.16,0.87,922.37,15.65,-37.38,0.64
1.13,0.98,920.76,15.64,-34.23,0.65
1.13,0.9,920.65,15.64,-35.95,0.61
1.17,0.96,920.49,15.64,-34.64,0.67
1.16,0.99,920.23,15.64,-34.21,0.67
1.15,0.95,920.22,15.64,-34.61,0.66
1.16,0.98,919.62,15.63,-34.22,0.67
1.16,0.93,919.61,15.63,-35.26,0.66
1.16,0.85,918.78,15.63,-38.72,0.63
1.14,0.99,917.85,15.62,-34.23,0.66
1.15,0.94,917.79,15.62,-34.88,0.66
1.14,0.95,917.74,15.62,-34.62,0.66
1.15,0.99,917.59,15.62,-34.23,0.67
1.18,0.84,917.51,15.62,-37.82,0.66
1.18,0.83,917.51,15.62,-37.82,0.66
1.18,0.99,917.51,15.62,-34.18,0.67
1.18,0.82,917.51,15.62,-37.82,0.66
1.18,0.98,917.51,15.62,-34.18,0.67
1.18,0.97,917.51,15.62,-34.18,0.67
1.14,0.98,917.42,15.62,-34.23,0.66
1.13,0.97,917.39,15.62,-34.26,0.64
1.15,0.98,917.08,15.61,-34.23,0.67
1.16,0.97,916.73,15.61,-34.24,0.67
1.16,0.86,916.68,15.61,-38.06,0.63
1.19,0.83,916.14,15.61,-37.78,0.66
1.19,0.82,916.14,15.61,-37.78,0.66
1.19,0.84,916.14,15.61,-37.78,0.66
1.19,0.99,916.13,15.61,-34.19,0.67
1.19,0.97,916.13,15.61,-34.19,0.67
1.19,0.98,916.13,15.61,-34.19,0.67
1.14,0.94,915.37,15.6,-34.88,0.66
1.14,0.97,914.59,15.6,-34.25,0.66
1.15,0.93,914.53,15.6,-35.24,0.66
1.15,0.97,914.26,15.59,-34.25,0.66
1.18,0.81,913.41,15.59,-38.1,0.66
1.18,0.8,912.92,15.59,-38.13,0.66
1.18,0.96,912.52,15.58,-34.64,0.67
1.16,0.92,912.4,15.58,-35.86,0.65
1.14,0.93,912.19,15.58,-35.23,0.65
1.19,0.81,912.1,15.58,-38.06,0.66
1.17,0.79,911.97,15.58,-38.99,0.65
1.17,0.78,911.97,15.58,-38.99,0.65
1.19,0.8,911.62,15.58,-38.09,0.66
1.16,0.96,911.24,15.57,-34.66,0.67
1.19,0.96,911.21,15.57,-34.64,0.67
