buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.2,0.91,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.92,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.93,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.94,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.95,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,1.0,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.88,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.89,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.9,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.91,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.96,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.97,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.7,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.71,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.92,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.93,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.94,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.76,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.77,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.78,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.83,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.84,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.85,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.86,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.95,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.96,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.97,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.98,180,0.0,0.0,0.0,-9.294372190689888e+16
1.04,0.94,180,-0.1,-0.01,-71.34,0.06
1.05,0.87,240,-0.5,-0.05,-75.54,0.1
1.01,0.89,200,-0.58,-0.06,-78.07,0.1
1.17,0.93,60,-0.6,-0.06,-11.88,-1.05
1.18,0.93,60,-0.6,-0.06,-11.88,-1.05
1.07,0.9,200,-0.74,-0.07,-73.97,0.09
1.03,0.88,200,-0.75,-0.07,-78.11,0.1
1.1,0.86,60,-0.88,-0.09,-80.32,0.08
1.1,0.88,60,-0.88,-0.09,-80.32,0.08
1.1,0.85,60,-0.88,-0.09,-80.32,0.08
1.1,0.87,60,-0.88,-0.09,-80.32,0.08
1.09,0.84,120,-1.13,-0.11,-81.17,0.08
1.09,0.86,120,-1.13,-0.11,-81.17,0.08
1.1,0.85,120,-1.13,-0.11,-81.17,0.08
1.1,0.86,120,-1.13,-0.11,-81.17,0.08
1.09,0.85,120,-1.13,-0.11,-81.17,0.08
1.1,0.84,120,-1.13,-0.11,-81.17,0.08
1.03,0.88,180,-1.17,-0.12,-77.61,0.1
1.04,0.87,250,-1.43,-0.14,-75.54,0.1
1.02,0.95,180,-1.51,-0.15,-73.75,0.06
1.03,0.86,240,-1.53,-0.15,-76.22,0.1
1.0,0.94,180,-1.53,-0.15,-76.91,0.08
1.02,0.86,240,-1.53,-0.15,-76.22,0.1
1.02,0.87,180,-1.76,-0.18,-78.33,0.1
1.01,0.95,200,-1.79,-0.18,-73.82,0.07
1.13,0.91,60,-1.82,-0.18,-56.03,-0.1
1.02,0.87,200,-1.93,-0.19,-77.67,0.1
1.01,0.92,250,-2.07,-0.21,-73.9,0.09
1.03,0.95,240,-2.16,-0.22,-73.92,0.06
1.05,0.88,200,-2.27,-0.23,-75.54,0.09
1.12,0.86,180,-2.31,-0.23,-78.84,0.07
1.17,0.99,60,-2.35,-0.24,-4.52,-2.13
1.18,0.99,60,-2.35,-0.24,-4.52,-2.13
1.02,0.96,200,-2.49,-0.25,-74.01,0.05
1.13,0.88,120,-2.6,-0.26,-76.49,0.05
1.03,0.96,200,-2.62,-0.27,-74.04,0.05
1.1,1.0,120,-2.75,-0.28,-50.51,-0.06
1.18,1.0,60,-2.84,-0.29,-4.52,-2.25
1.17,1.0,60,-2.84,-0.29,-4.52,-2.25
1.12,0.92,60,-3.0,-0.3,-56.91,-0.08
1.13,0.9,60,-3.11,-0.32,-56.21,-0.11
1.03,0.95,250,-3.15,-0.32,-73.92,0.06
1.18,0.98,60,-3.19,-0.32,-4.52,-2.14
1.17,0.98,60,-3.19,-0.32,-4.52,-2.14
1.01,0.86,250,-3.42,-0.35,-76.22,0.1
1.01,0.94,200,-3.42,-0.35,-74.26,0.06
1.02,0.86,250,-3.42,-0.35,-76.22,0.1
1.16,0.97,60,-3.74,-0.38,-20.34,-0.54
1.04,0.86,240,-4.16,-0.42,-76.22,0.09
1.11,0.84,120,-4.18,-0.43,-81.75,0.07
1.11,0.86,120,-4.18,-0.43,-81.75,0.07
1.11,0.85,120,-4.18,-0.43,-81.75,0.07
1.06,0.95,180,-4.24,-0.43,-68.43,0.04
1.05,0.95,180,-4.24,-0.43,-68.43,0.04
1.1,0.9,180,-4.28,-0.44,-75.09,0.07
1.16,0.96,60,-4.35,-0.44,-20.85,-0.55
1.03,0.87,200,-4.35,-0.44,-78.23,0.09
1.03,0.86,250,-4.4,-0.45,-76.22,0.09
1.14,0.9,180,-4.48,-0.46,-71.82,0.04
1.19,1.0,120,-4.48,-0.46,-11.26,-1.05
1.14,0.89,180,-4.48,-0.46,-71.82,0.04
1.13,0.88,200,-4.49,-0.46,-75.82,0.05
1.13,0.87,200,-4.49,-0.46,-75.82,0.05
1.05,0.97,250,-4.55,-0.46,-72.24,0.04
1.0,0.93,250,-4.56,-0.47,-74.56,0.08
1.06,0.89,200,-4.58,-0.47,-73.97,0.08
1.04,0.95,250,-4.77,-0.49,-73.92,0.05
1.04,0.95,240,-4.77,-0.49,-73.92,0.05
1.07,0.89,120,-4.8,-0.49,-75.54,0.07
1.07,1.0,120,-4.84,-0.49,-48.27,-0.07
1.05,0.96,200,-4.88,-0.5,-71.23,0.03
1.05,0.94,200,-5.25,-0.54,-71.34,0.05
1.05,0.95,200,-5.25,-0.54,-71.34,0.05
1.05,0.87,200,-5.32,-0.54,-75.54,0.09
